review_id,review
R001,Absolutely love this product! Works perfectly and arrived fast.
R002,Terrible quality. Broke after two days. Total waste of money.
R003,"It's okay. Does what it says, nothing special."
R004,Great value for the price. Would definitely buy again.
R005,The color was different from the photo. A bit disappointed.
R006,Exactly as described. Happy with the purchase.
R007,Stopped working after a week. Very frustrating.
R008,"Average product. Not bad, not great."
R009,Exceeded my expectations! Highly recommend.
R010,Packaging was damaged but the product itself was fine.
